Gender,Branch,College_Tier,CGPA,Internships,Projects,Aptitude_Score,Communication_Score,Technical_Score,Backlogs,Attendance_Percentage,Certifications,Coding_Rating,Placement,Salary_LPA
Female,IT,Tier 3,5.72,0,3,99,72,90,4,92.65,1,1806,0,0
Female,ECE,Tier 3,8.1,5,3,86,69,81,3,89.56,2,1163,0,0
Male,ECE,Tier 1,6.08,5,5,99,85,92,1,71.25,2,1946,1,16.17
Male,CSE,Tier 1,7.22,2,2,61,64,41,3,73.49,6,1697,0,0
Male,IT,Tier 1,9.03,2,4,99,89,43,4,98.56,6,920,1,15.51
Male,IT,Tier 1,6.62,2,4,87,78,99,3,98.97,1,1892,1,15.7
Male,ECE,Tier 1,6.74,3,6,97,56,67,0,78.63,4,1963,1,15.34
Female,CIVIL,Tier 3,6.68,4,2,66,88,46,1,65.58,1,1681,0,0
Female,MECH,Tier 3,9.07,3,9,86,46,48,4,88.81,1,1819,0,0
Male,MECH,Tier 1,7.81,0,3,92,50,78,0,81.43,5,1478,1,14.61
Female,EEE,Tier 2,6.6,2,1,69,59,52,3,85.01,4,874,0,0
Female,EEE,Tier 1,6.98,0,2,93,64,66,3,91.87,0,1388,0,0
Male,CSE,Tier 3,6.21,3,7,56,74,49,2,76.25,0,1755,0,0
Female,CIVIL,Tier 2,8.72,5,6,86,69,81,1,66.39,1,1711,1,19.37
Male,MECH,Tier 2,8,3,2,81,91,71,1,80.23,1,1332,1,16.35
Female,EEE,Tier 2,9.15,5,2,46,45,48,1,69.47,5,1340,0,0
Male,ECE,Tier 2,5.57,0,4,59,76,81,3,60.64,2,1217,0,0
Female,IT,Tier 3,7.82,4,8,56,46,89,1,71.37,5,1519,0,0
Female,ECE,Tier 1,6.41,0,5,93,57,75,0,68.46,6,1835,1,13.45
Male,IT,Tier 2,7.8,5,6,88,94,99,1,81.82,1,1483,1,18.46
Male,EEE,Tier 1,5.19,5,7,62,55,50,4,68.09,1,1371,0,0
Male,CIVIL,Tier 3,9.43,5,8,50,83,91,2,72.43,0,1029,1,19.02
