Student_ID,Gender,Branch,College_Tier,CGPA,Internships,Projects,Aptitude_Score,Communication_Score,Technical_Score,Backlogs,Attendance_Percentage,Certifications,Coding_Rating,Placement,Salary_LPA
1,Female,IT,Tier 3,5.72,0,3,99,72,90,4,92.65,1,1806,0,0
2,Female,ECE,Tier 3,8.1,5,3,86,69,81,3,89.56,2,1163,0,0
3,Male,ECE,Tier 1,6.08,5,5,99,85,92,1,71.25,2,1946,1,16.17
4,Male,CSE,Tier 1,7.22,2,2,61,64,41,3,73.49,6,1697,0,0
5,Male,IT,Tier 1,9.03,2,4,99,89,43,4,98.56,6,920,1,15.51
6,Male,IT,Tier 1,6.62,2,4,87,78,99,3,98.97,1,1892,1,15.7
7,Male,ECE,Tier 1,6.74,3,6,97,56,67,0,78.63,4,1963,1,15.34
8,Female,CIVIL,Tier 3,6.68,4,2,66,88,46,1,65.58,1,1681,0,0
9,Female,MECH,Tier 3,9.07,3,9,86,46,48,4,88.81,1,1819,0,0
10,Male,MECH,Tier 1,7.81,0,3,92,50,78,0,81.43,5,1478,1,14.61
11,Female,EEE,Tier 2,6.6,2,1,69,59,52,3,85.01,4,874,0,0
12,Female,EEE,Tier 1,6.98,0,2,93,64,66,3,91.87,0,1388,0,0
13,Male,CSE,Tier 3,6.21,3,7,56,74,49,2,76.25,0,1755,0,0
14,Female,CIVIL,Tier 2,8.72,5,6,86,69,81,1,66.39,1,1711,1,19.37
15,Male,MECH,Tier 2,8,3,2,81,91,71,1,80.23,1,1332,1,16.35
16,Female,EEE,Tier 2,9.15,5,2,46,45,48,1,69.47,5,1340,0,0
17,Male,ECE,Tier 2,5.57,0,4,59,76,81,3,60.64,2,1217,0,0
18,Female,IT,Tier 3,7.82,4,8,56,46,89,1,71.37,5,1519,0,0
19,Female,ECE,Tier 1,6.41,0,5,93,57,75,0,68.46,6,1835,1,13.45
20,Male,IT,Tier 2,7.8,5,6,88,94,99,1,81.82,1,1483,1,18.46
21,Male,EEE,Tier 1,5.19,5,7,62,55,50,4,68.09,1,1371,0,0
22,Male,CIVIL,Tier 3,9.43,5,8,50,83,91,2,72.43,0,1029,1,19.02
23,Female,CSE,Tier 2,8.63,5,6,90,49,71,1,93.97,6,1742,1,20.15
24,Female,CIVIL,Tier 3,7.67,2,4,56,76,51,1,75.34,4,1236,0,0
25,Female,CSE,Tier 3,9.42,3,4,86,88,52,2,74.94,7,1938,0,0
26,Male,IT,Tier 3,6.75,4,9,44,99,45,0,70.32,3,1042,0,0
27,Female,EEE,Tier 2,9.34,1,8,61,90,41,3,68.08,7,1452,0,0
28,Male,IT,Tier 2,6.54,5,7,75,68,46,3,83.3,2,1936,0,0
29,Male,ECE,Tier 3,6.86,2,3,59,51,53,0,72.03,6,1218,0,0
30,Male,CSE,Tier 1,5.8,0,2,52,68,76,2,67.36,0,1252,0,0
31,Male,EEE,Tier 1,8.45,0,2,88,70,66,4,77.45,2,993,1,15.17
32,Female,ECE,Tier 2,5.68,1,2,85,52,54,3,95.43,2,843,0,0
33,Female,IT,Tier 1,9.81,5,2,91,95,82,0,81.42,1,1374,1,20.71
34,Female,CSE,Tier 2,8.22,2,4,46,40,53,4,66.83,7,832,0,0
35,Male,CIVIL,Tier 2,7.83,1,5,50,57,93,1,64.29,2,1983,1,15.99
36,Male,EEE,Tier 2,8.48,3,4,92,51,74,1,66.26,4,1968,1,16.63
37,Female,ECE,Tier 1,9.42,2,3,65,75,88,2,61.8,7,949,1,19.08
38,Male,IT,Tier 2,7.49,0,5,88,62,45,4,78.88,1,1936,0,0
39,Male,CIVIL,Tier 2,6.07,5,2,52,56,83,4,63.93,5,1629,0,0
40,Female,CSE,Tier 2,6.02,3,1,56,54,94,1,68.38,3,1374,0,0
41,Male,MECH,Tier 3,5.34,1,5,60,90,60,2,77.48,4,1849,0,0
42,Female,ECE,Tier 2,9.56,3,4,70,88,50,4,90.41,0,1298,0,0
43,Male,CIVIL,Tier 1,6.61,2,1,79,42,83,4,90.41,4,1367,0,0
44,Female,MECH,Tier 1,7.61,4,7,90,51,54,3,82.42,1,1038,1,16.09
45,Female,CSE,Tier 1,6.59,1,4,99,83,66,2,79.75,7,1965,1,14.35
46,Female,CSE,Tier 2,5.1,1,2,83,60,67,0,84.88,5,1203,0,0
